diagnosis_code,diagnosis_name
001,Cholera
001.0, Due to Vibrio cholerae
001.1, Due to Vibrio cholerae el tor
001.9, Unspecified
002,Typhoid and paratyphoid fevers
002.0,Typhoid fever
002.1, Paratyphoid fever A
002.2, Paratyphoid fever B
002.3, Paratyphoid fever C
002.9," Paratyphoid fever, unspecified"
003,Other salmonella infections
003.0, Salmonella gastroenteritis
003.1, Salmonella septicemia
003.2, Localized salmonella infections
003.8, Other
003.9, Unspecified
004,Shigellosis
004.0, Shigella dysenteriae
004.1, Shigella flexneri
004.2, Shigella boydii
004.3, Shigella sonnei
004.8, Other
004.9, Unspecified
005.0, Staphylococcal food poisoning
005.1, Botulism
005.3, Food poisoning due to other Clostridia
005.4, Food poisoning due to Vibrio parahemolyticus
005.8, Other bacterial food poisoning
005.9," Food poisoning, unspecified"
006,Amebiasis
006.0, Acute amebic dysentery without mention of abscess
006.1, Chronic intestinal amebiasis without mention of abscess
006.2, Amebic nondysenteric colitis
006.3, Amebic liver abscess
006.4, Amebic lung abscess
006.5, Amebic brain abscess
006.6, Amebic skin ulceration
006.8, Amebic infection of other sites
006.9," Amebiasis, unspecified"
007,Other protozoal intestinal diseases
007.0, Balantidiasis
007.1, Giardiasis
007.2, Coccidiosis
007.3, Intestinal trichomoniasis
007.8, Other protozoal intestinal diseases
007.9, Unspecified
008,Intestinal infections due to other organisms
008.0, Escherichia coli
008.1, Arizona
008.2, Aerobacter aerogenes
008.4, Other specified bacteria
008.5," Bacterial enteritis, unspecified"
008.6, Enteritis due to specified virus
008.8," Other organism, not elsewhere classified"
009.0," Infectious colitis, enteritis, and gastroenteritis"
009.2, Infectious diarrhea
010,Primary tuberculous infection
010.0, Primary tuberculous complex
010.1, Tuberculous pleurisy in primary progressive tuberculosis
010.8, Other primary progressive tuberculosis
010.9, Unspecified
011,Pulmonary tuberculosis
011.0," Tuberculosis of lung, infiltrative"
011.1," Tuberculosis of lung, nodular"
011.2, Tuberculosis of lung with cavitation
011.3, Tuberculosis of bronchus
